Comment,Designator,Footprint,LCSC, Manufacturer, Part #, VEND, VEND#, LCSC, Digi
"YEL(570NM)","D10","rusefi_lib:SM0805_jumper","","","","","","C84257",""
"BLU","D12,D14,D16,D18,D20,D22","rusefi_lib:SM0805_jumper","","","","","","C375453",""
"RED","D31,D33,D35,D37,D39,D41,D43,D45,D47,D25,D27,D29,D81,D83,D85,D87,D89,D91,D93,D96,D23","rusefi_lib:SM0805_jumper","","","","","","C84256",""
"1N4148WS","D32,D95,D34,D36,D38,D40,D42,D44,D46,D11,D13,D15,D17,D19,D21,D5,D7,D9,D48,D26,D28,D30,D52,D82,D84,D86,D88,D90,D92,D51,D50,D49,D56,D55,D54,D53,D60,D59,D58,D57,D64,D63,D62,D61,D94,D97,D24,D3,D1","rusefi_lib:SM0805_jumper","","","","","","C2128",""
"GRN","D6,D68,D67,D66,D65,D72,D71,D70,D69,D76,D75,D74,D73,D80,D79,D78,D77,D4,D2","rusefi_lib:SM0805_jumper","","","","","","C2297",""
"YEL(593NM)","D8","rusefi_lib:SM0805_jumper","","","","","","C2296",""
"1A FUSE","F1","rusefi_lib:Blank","","","","","","","283-3731-ND"
"Conn_01x01","J1,J2,J5,J6,J8,J7,J11,J10","Connector_Pin:Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork",""
"Conn_01x01_Female","J3,J4","rusefi_lib:KeyStone_3557","","","","","","","36-3557-ND"
"Conn_02x05_Counter_Clockwise","J9","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical_SMD",""
"DNP","LOGO1","rusEFI:LOGO","","DNP","DNP","DNP","DNP","",""
"DNP","LOGO2","Symbol:OSHW-Logo2_7.3x6mm_SilkScreen","","DNP","DNP","DNP","DNP","",""
"LOGO","LOGO3","rusefi_lib:MRE_QR_code",""
"2k2","R14,R26,R32","rusefi_lib:SM0805_jumper","","","","","","C17520",""
"3k3","R15,R30","rusefi_lib:SM0805_jumper","","","","","","C26010",""
"4k7","R18,R39","rusefi_lib:SM0805_jumper","","","","","","C17673",""
"10k","R29,R25,R19","rusefi_lib:SM0805_jumper","","","","","","C17414",""
"0R","R3","rusefi_lib:SM0805_jumper","","","","","","C17477",""
"5k","R42,R40,R44,R46,R50,R48,R52,R54,R38,R4,R5,R6,R22,R56,R28,R34,R78,R31,R23,R80,R82,R84,R86,R88,R91,R93,R17","rusefi_lib:SM0805_jumper","","","","","","C17677",""
"1k","R90,R37,R41,R43,R45,R47,R49,R51,R53,R7,R8,R9,R10,R13,R11,R12,R55,R21,R27,R33,R64,R77,R20,R24,R79,R81,R83,R85,R87,R63,R62,R61,R68,R67,R66,R65,R72,R71,R70,R69,R76,R75,R74,R73,R89,R92,R16,R1,R2","rusefi_lib:SM0805_jumper","","","","","","C17513",""
"SW_Push","SW1,SW2","Button_Switch_SMD:SW_SPST_B3SL-1002P","","","","","","C318887",""
"5V","TP1,TP3","TestPoint:TestPoint_Pad_D2.0mm","","DNP","DNP","DNP","DNP","",""
"GND","TP2,TP4","TestPoint:TestPoint_Pad_D2.0mm","","DNP","DNP","DNP","DNP","",""
"molex_48pin_MRE","U1","rusefi_lib:Molex_48_MRE","","MOLEX","500762-0481","DIGI","WM4430-ND","",""